Issue Type,Summary,Issue Key,Epic,Sprint,Priority,Story Points,Owner Team,Dependencies,Acceptance Criteria Summary
Story,Create procurement core tables,PROC-101,EPIC P1: Procurement Foundation,Sprint 1,P0,5,Procurement Squad,,Migrations succeed and tables are tenant-scoped.
Story,Add PO and receipt models and relations,PROC-102,EPIC P1: Procurement Foundation,Sprint 1,P0,3,Procurement Squad,PROC-101,Models map correctly to new tables with tenant isolation.
Story,Add budget commitment service skeleton,BUD-101,EPIC P1: Procurement Foundation,Sprint 1,P0,3,Platform Shared,PROC-101,Commitment service exists with tested posting interfaces.
Story,Create treasury core tables,TRSY-101,EPIC T1: Treasury Foundation and Statement Ingestion,Sprint 1,P0,5,Treasury Squad,,Bank account and statement tables migrate cleanly with indexes.
Story,Add reconciliation models and base statuses,TRSY-102,EPIC T1: Treasury Foundation and Statement Ingestion,Sprint 1,P0,3,Treasury Squad,TRSY-101,Reconciliation domain models are usable and status enums are stable.
Story,Add Convert to PO action on approved requests,PROC-201,EPIC P1: Procurement Foundation,Sprint 2,P0,5,Procurement Squad,PROC-102,Only eligible approved requests can start PO draft flow.
Story,Build PO draft creation service from request payload,PROC-202,EPIC P1: Procurement Foundation,Sprint 2,P0,3,Procurement Squad,PROC-201,PO draft is prefilled with request and budget context.
Story,Post budget commitment on PO issue,BUD-201,EPIC P1: Procurement Foundation,Sprint 2,P0,5,Platform Shared,BUD-101|PROC-202,Committed increases correctly on PO issue.
Story,Log PO issue and commitment audit events,AUD-201,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 2,P1,2,Platform Shared,PROC-202|BUD-201,Audit log captures actor action metadata and timestamp.
Story,Add procurement nav and PO list detail pages,UI-201,EPIC P1: Procurement Foundation,Sprint 2,P1,5,Procurement Squad,PROC-202,Feature-flagged procurement pages are visible and scoped per tenant.
Story,Add goods receipt create and edit workflow,PROC-301,EPIC P1: Procurement Foundation,Sprint 3,P0,5,Procurement Squad,UI-201,Receipts can be created edited and tied to PO lines.
Story,Link vendor invoices to purchase orders,PROC-302,EPIC P1: Procurement Foundation,Sprint 3,P0,3,Procurement Squad,PROC-202,Invoices can reference PO and are queryable in vendor timeline.
Story,Compute receipt balances per PO line item,PROC-303,EPIC P1: Procurement Foundation,Sprint 3,P1,3,Procurement Squad,PROC-301,Remaining quantity and amount are accurate per line.
Story,Add receipts and PO timeline UI sections,UI-301,EPIC P1: Procurement Foundation,Sprint 3,P1,3,Procurement Squad,PROC-301|PROC-302,UI shows PO lifecycle receipt progress and invoice links.
Story,Implement 3-way match service,MATCH-401,EPIC P2: 3-Way Match and Procurement Exceptions,Sprint 4,P0,8,Procurement Squad,PROC-301|PROC-302|PROC-303,Service compares PO receipt invoice and returns deterministic result.
Story,Add match tolerance configuration,MATCH-402,EPIC P2: 3-Way Match and Procurement Exceptions,Sprint 4,P1,3,Platform Shared,MATCH-401,Amount quantity and date tolerances are configurable per tenant.
Story,Create match results and exceptions records,MATCH-403,EPIC P2: 3-Way Match and Procurement Exceptions,Sprint 4,P0,5,Procurement Squad,MATCH-401,Results and exception records are stored with reason codes.
Story,Gate payment execution on failed match,EXEC-401,EPIC P2: 3-Way Match and Procurement Exceptions,Sprint 4,P0,5,Platform Shared,MATCH-403,Failed match blocks payment progression by policy.
Story,Log match pass fail and payment block events,AUD-401,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 4,P1,2,Platform Shared,MATCH-403|EXEC-401,Audit events exist for pass fail override and block actions.
Story,Add bank account management page,TRSY-501,EPIC T1: Treasury Foundation and Statement Ingestion,Sprint 5,P1,3,Treasury Squad,TRSY-102,Finance users can create edit deactivate bank accounts.
Story,Build statement CSV import and parser validation,TRSY-502,EPIC T1: Treasury Foundation and Statement Ingestion,Sprint 5,P0,8,Treasury Squad,TRSY-101,CSV imports validate schema and reject bad files with clear errors.
Story,Store normalized statement lines and import metadata,TRSY-503,EPIC T1: Treasury Foundation and Statement Ingestion,Sprint 5,P0,5,Treasury Squad,TRSY-502,Statement lines are normalized idempotent and linked to import batch.
Story,Build manual reconciliation match unmatch UI,RECON-501,EPIC T2: Reconciliation Engine and Exception Workbench,Sprint 5,P1,5,Treasury Squad,TRSY-503,Finance can manually match and unmatch with required reason.
Story,Log reconciliation manual actions,AUD-501,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 5,P1,2,Platform Shared,RECON-501,Audit log captures manual reconcile actions and reasons.
Story,Implement auto-match rule engine,RECON-601,EPIC T2: Reconciliation Engine and Exception Workbench,Sprint 6,P0,8,Treasury Squad,TRSY-503,Engine matches by reference amount date and beneficiary.
Story,Add match confidence scores and statuses,RECON-602,EPIC T2: Reconciliation Engine and Exception Workbench,Sprint 6,P1,3,Treasury Squad,RECON-601,Each auto-match carries confidence score and status trace.
Story,Build reconciliation exception queue with aging,RECON-603,EPIC T2: Reconciliation Engine and Exception Workbench,Sprint 6,P0,5,Treasury Squad,RECON-601,Exception queue supports sorting by age value and reason.
Story,Integrate unresolved reversals with execution incident flow,EXEC-601,EPIC T2: Reconciliation Engine and Exception Workbench,Sprint 6,P1,5,Platform Shared,RECON-603,Unresolved reconciliation issues are visible in execution operations.
Story,Add reconciliation metrics to reports center,RPT-601,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 6,P1,3,Platform Shared,RECON-603,Reports show reconciled unreconciled values and auto-match rate.
Story,Add mandatory PO policy by category and threshold,POL-701,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 7,P0,5,Platform Shared,PROC-201,Policy enforces PO route for configured spend scenarios.
Story,Add maker-checker for sensitive overrides,POL-702,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 7,P1,5,Platform Shared,POL-701,Override actions require separate authorizer where configured.
Story,Add write-off and force-match authorization rules,POL-703,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 7,P1,3,Platform Shared,RECON-501,Only authorized roles can write off or force-match exceptions.
Story,Add stale commitment and reconciliation backlog alerts,ALRT-701,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 7,P1,3,Platform Shared,RECON-603|BUD-201,Alerts trigger for aging commitments and recon exceptions.
Story,Add role-specific finance owner auditor dashboards,UI-701,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 7,P2,5,Platform Shared,RPT-601,Dashboards show role-relevant KPIs and queue states.
Story,Add procurement and treasury entitlements,ROL-801,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 8,P0,3,Platform Shared,,Modules can be enabled per tenant plan safely.
Story,Build migration and backfill for invoice payment links,ROL-802,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 8,P0,5,Platform Shared,PROC-302|TRSY-503,Backfill jobs are resumable and auditable.
Story,Publish SOPs runbooks and onboarding docs,ROL-803,EPIC X1: Cross-Cut Governance Reporting and Rollout,Sprint 8,P1,3,QA and Controls,ROL-801,Ops and finance runbooks are published and reviewed.
